Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABM,ABM Industries Incorporated Common Stock,$49.21,-1.45,-2.862%,3301483940.00,United States,,341864,Technology,Diversified Commercial Services
ACN,Accenture plc Class A Ordinary Shares (Ireland),$281.80,0.92,0.328%,179125382369.00,Ireland,2001,2089845,Technology,EDP Services
AER,AerCap Holdings N.V. Ordinary Shares,$58.68,-1.43,-2.379%,7671496998.00,Netherlands,2006,747146,Technology,Diversified Commercial Services
AI,C3.ai Inc. Class A Common Stock,$76.15,4.39,6.118%,7685946442.00,,2020,9410234,Technology,Computer Software: Prepackaged Software
AL,Air Lease Corporation Class A Common Stock,$47.44,-0.76,-1.577%,5414062864.00,United States,2011,453840,Technology,Diversified Commercial Services
ALTG,Alta Equipment Group Inc. Class A Common Stock,$14.00,-0.54,-3.714%,452177264.00,,2019,133095,Technology,Engineering & Construction
AMWL,American Well Corporation Class A Common Stock,$13.03,0.20,1.559%,3140658062.00,United States,2020,5272674,Technology,Retail: Computer Software & Peripheral Equipment
ANET,Arista Networks Inc. Common Stock,$334.17,-0.70,-0.209%,25504460919.00,,2014,494152,Technology,Computer peripheral equipment
ARW,Arrow Electronics Inc. Common Stock,$121.63,-0.31,-0.254%,8974230182.00,United States,,660608,Technology,Electronic Components
ASAN,Asana Inc. Class A Common Stock,$36.86,-0.14,-0.378%,6025464981.00,,2020,797941,Technology,Retail: Computer Software & Peripheral Equipment
ASGN,ASGN Incorporated Common Stock,$99.84,-4.06,-3.908%,5311488000.00,United States,1992,264331,Technology,Diversified Commercial Services
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$8.14,-0.05,-0.611%,17527402220.00,,2018,1570055,Technology,Semiconductors
ATEN,A10 Networks Inc. Common Stock,$9.73,0.02,0.206%,752474512.00,,2014,432011,Technology,EDP Services
ATKR,Atkore Inc. Common Stock,$77.38,-2.32,-2.911%,3635644902.00,United States,2016,268079,Technology,Electrical Products
AVLR,Avalara Inc. Common Stock,$129.26,-0.07,-0.054%,11112413304.00,United States,2018,490358,Technology,EDP Services
AVYA,Avaya Holdings Corp. Common Stock,$28.71,0.69,2.463%,2428103060.00,,,692417,Technology,Retail: Computer Software & Peripheral Equipment
AYX,Alteryx Inc. Class A Common Stock,$78.01,1.25,1.628%,5236761218.00,United States,2017,614261,Technology,Computer Software: Prepackaged Software
BGSF,BGSF Inc. Common Stock,$12.26,0.01,0.082%,126720709.00,United States,,52467,Technology,Diversified Commercial Services
